author,degree,betweenness,closeness,eigenvector
'Bruce D. Shriver',0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
'Patrick W. Mallett'],0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
['Norman I. Badler',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
"""Joseph O'Rourke""",0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Bruce E. Kaufman'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Erik Sandewall',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Henrik Sörensen',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Claes Strömberg'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Guy Fedorkow',0.0007380073800738007,0.0,0.0020315041860096018,3.404587148880965e-07
'Sanand Patel',0.0014760147601476014,7.566512673000747e-07,0.0023324677691221353,6.709234572493844e-07
['Roy Jonker',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'R. Kaas',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Ton Volgenant'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['F. E. J. Kruseman Aretz',0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
'J.L.A. Van De Snepscheut',0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
'H. Grasdijk',0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
'J. M. H. Smeets'],0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
['Gérard P. Huet',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Jean-Marie Hullot'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Ming T. Liu',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Sandra A. Mamrak',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Jayshree Ramanathan'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Fiorella De Cindio',0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
'Giorgio De Michelis',0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
'Lucia Pomello',0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
'Carla Simone'],0.0007380073800738007,0.0,0.0007380073800738007,1.844698778641197e-18
'William T. Reeves',0.001230012300123001,9.079815207600896e-08,0.0019680196801968018,6.177053065367718e-07
'Kenneth C. Smith',0.0009840098400984009,0.0,0.0018522538166558134,5.200875324684646e-07
['George S. Axelby',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Alexander H. Levis'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Gordon S. Novak',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Agustin A. Araya'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Stål Aanderaa',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Egon Börger',0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
'Yuri Gurevich'],0.0004920049200492004,0.0,0.0004920049200492004,1.3929238239051083e-24
['Mark H. Karwan',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
'Ronald L. Rardin'],0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
['Kurt Konolige',0.0002460024600246002,0.0,0.0003280032800328003,2.832860302274036e-29
['Kjell Kjeldsen',0.0002460024600246002,0.0,0.0002460024600246002,3.276843292072579e-33
